"","labeled_distinct_regions","name_with_luxury","room_type","minimum_nights","number_of_reviews","reviews_per_month","availability_per_day"
"111",3,1,"Entire home/apt",5,8,0.13,0.0958904109589041
"112",3,1,"Entire home/apt",10,1,0.02,0
"113",3,1,"Private room",3,3,0.05,0.487671232876712
"114",3,1,"Entire home/apt",1,94,1.48,0.589041095890411
"115",3,1,"Private room",5,20,0.33,0
"116",4,1,"Entire home/apt",7,50,0.8,0.873972602739726
"117",2,1,"Entire home/apt",2,3,0.05,0
"118",2,1,"Private room",3,5,0.11,0.76986301369863
"119",3,1,"Entire home/apt",30,2,0.03,1
"120",3,1,"Entire home/apt",3,8,0.13,0
"121",2,1,"Entire home/apt",3,16,0.25,0.164383561643836
"122",3,1,"Entire home/apt",3,32,0.53,0.380821917808219
"123",3,1,"Entire home/apt",1,1,0.02,0
"124",3,1,"Entire home/apt",1,3,0.05,0
"125",3,1,"Entire home/apt",1,0,0,0
"126",3,1,"Entire home/apt",2,32,0.51,0
"127",3,1,"Entire home/apt",30,2,0.03,0
"128",2,1,"Entire home/apt",8,23,0.38,0.813698630136986
"129",3,1,"Entire home/apt",1,150,2.52,0.761643835616438
"130",2,1,"Entire home/apt",2,14,0.6,0
"131",2,1,"Entire home/apt",5,28,0.53,0.29041095890411
"132",3,1,"Entire home/apt",2,17,0.28,0
"133",3,1,"Entire home/apt",1,3,0.05,0
"134",3,1,"Entire home/apt",1,0,0,0
"135",2,1,"Entire home/apt",5,8,0.13,0.994520547945206
"136",2,1,"Shared room",1,0,0,0
"137",2,1,"Entire home/apt",5,82,1.41,0
"138",2,1,"Private room",4,14,0.3,0
"139",3,1,"Entire home/apt",7,6,0.18,0
"140",3,1,"Entire home/apt",2,1,0.02,0.934246575342466
"141",3,1,"Entire home/apt",30,6,0.1,0.76986301369863
"142",3,1,"Entire home/apt",30,11,0.19,1
"143",2,1,"Entire home/apt",1,5,0.08,0
"144",3,1,"Entire home/apt",7,6,0.19,0
"145",2,1,"Private room",5,12,0.26,0.0383561643835616
"146",3,1,"Entire home/apt",30,16,0.28,0.276712328767123
"147",3,1,"Entire home/apt",30,14,0.24,0.36986301369863
"148",3,1,"Private room",3,0,0,0.241095890410959
"149",3,1,"Entire home/apt",3,0,0,0
"150",3,1,"Entire home/apt",30,7,0.14,0.515068493150685
"151",3,1,"Entire home/apt",5,5,0.08,0
"152",2,1,"Entire home/apt",3,0,0,0
"153",3,1,"Entire home/apt",3,9,0.19,0
"154",3,1,"Entire home/apt",2,57,1.18,0.0246575342465753
"155",3,1,"Entire home/apt",30,17,0.33,0.997260273972603
"156",3,1,"Entire home/apt",30,1,0.02,0.936986301369863
"157",3,1,"Entire home/apt",1,0,0,0
"158",2,1,"Entire home/apt",2,150,2.57,0.846575342465753
"159",3,1,"Entire home/apt",1,2,0.04,0
"160",3,1,"Entire home/apt",2,10,0.47,0.0273972602739726
"161",3,1,"Entire home/apt",30,5,0.1,0.83013698630137
"162",2,1,"Private room",5,125,2.15,0.295890410958904
"163",3,1,"Entire home/apt",60,9,0.16,0.575342465753425
"164",3,1,"Private room",7,23,0.55,0.317808219178082
"165",3,1,"Entire home/apt",6,186,3.27,0.695890410958904
"166",3,1,"Entire home/apt",1,2,0.04,0
"167",2,1,"Private room",5,81,1.47,0.227397260273973
"168",2,1,"Private room",1,130,2.32,0.0712328767123288
"169",2,1,"Private room",1,38,2.06,0.126027397260274
"170",2,1,"Entire home/apt",1,0,0,0
"171",3,1,"Private room",2,13,0.27,0.482191780821918
"172",2,1,"Entire home/apt",2,7,0.13,0
"173",3,1,"Entire home/apt",1,66,1.18,1
"174",3,1,"Entire home/apt",3,8,0.16,0
"175",3,1,"Entire home/apt",7,8,0.16,0
"176",4,1,"Entire home/apt",3,63,1.34,0.512328767123288
"177",2,1,"Private room",1,1,0.02,0
"178",3,1,"Entire home/apt",6,11,0.22,0
